,charge,0
874,774.5,0.0
875,775.5,0.0
876,776.5,0.0
877,777.5,0.0
878,778.5,0.0
879,779.5,0.0
880,780.5,0.0
881,781.5,0.0
882,782.5,0.0
883,783.5,0.0
884,784.5,0.0
885,785.5,0.0
886,786.5,0.0
887,787.5,0.0
888,788.5,0.0
889,789.5,0.0
890,790.5,0.0
891,791.5,0.0
892,792.5,0.0
893,793.5,0.0
894,794.5,0.0
895,795.5,0.0
896,796.5,0.0
897,797.5,0.0
898,798.5,0.0
899,799.5,0.0
900,800.5,0.0
901,801.5,0.0
902,802.5,0.0
903,803.5,0.0
904,804.5,0.0
905,805.5,0.0
906,806.5,0.0
907,807.5,0.0
908,808.5,0.0
909,809.5,0.0
910,810.5,0.0
911,811.5,0.0
912,812.5,0.0
913,813.5,0.0
914,814.5,0.0
915,815.5,0.0
916,816.5,0.0
917,817.5,0.0
918,818.5,0.0
919,819.5,0.0
920,820.5,0.0
921,821.5,0.0
922,822.5,0.0
923,823.5,0.0
924,824.5,0.0
925,825.5,0.0
926,826.5,0.0
927,827.5,0.0
928,828.5,0.0
929,829.5,0.0
930,830.5,0.0
931,831.5,0.0
932,832.5,0.0
933,833.5,0.0
934,834.5,0.0
935,835.5,0.0
936,836.5,0.0
937,837.5,0.0
938,838.5,0.0
939,839.5,0.0
940,840.5,0.0
941,841.5,0.0
942,842.5,0.0
943,843.5,0.0
944,844.5,0.0
945,845.5,0.0
946,846.5,0.0
947,847.5,0.0
948,848.5,0.0
949,849.5,0.0
950,850.5,0.0
951,851.5,0.0
952,852.5,0.0
953,853.5,0.0
954,854.5,0.0
955,855.5,0.0
956,856.5,0.0
957,857.5,0.0
958,858.5,0.0
959,859.5,0.0
960,860.5,0.0
961,861.5,0.0
962,862.5,0.0
963,863.5,0.0
964,864.5,0.0
965,865.5,0.0
966,866.5,0.0
967,867.5,0.0
968,868.5,0.0
969,869.5,0.0
970,870.5,0.0
971,871.5,0.0
972,872.5,0.0
973,873.5,0.0
974,874.5,0.0
975,875.5,0.0
